Actual,Predicted_60_RF,Predicted_60_OLS,Predicted_80_OLS,Predicted_80_RF
17250,19424,21443.24958,13606.89693,17088.61
10495,25447.86,22594.20713,15873.91946,14230.46
18898,15624.06,20530.15176,19255.61204,18961.59
15900,16225.65,16151.25596,15166.94681,14353.79
13369,15605.87,18412.24262,12537.7993,12917.04
13905,25946.28,24230.17586,15766.3139,16515.54
12998,9955.39,8894.776152,11356.72379,9500.44
8995,11959.76,10668.72625,8063.543008,14275.45
12999,11242.42,19070.17861,11443.61425,13396.02
18415,21703.03,23517.61917,24601.7757,21387.74
12777,15603.07,20038.21749,15431.70899,14224.46
63995,136547.35,58623.59429,79800.60007,73705.84
14795,22811.43,21821.72743,12096.75098,14101.98
9500,16906.89,18039.16557,14334.12852,13079.42
11995,9750.66,9166.56944,8603.009808,9118.59
16000,19903.06,19142.68324,13385.9705,17870.19
13988,16264.09,14045.99593,15770.62161,16322.2
6988,14029.75,12934.05739,7836.43731,9853.14
4250,12487.19,14364.33006,5781.545687,7488.01
19575,19428.06,26468.15983,17527.25035,17677.69
11952,12527.98,17503.93023,14810.89433,13027.68
21990,16015.28,14013.35856,18605.27513,15814.73
17234,22969.11,28249.39648,17036.14131,22371.34
14987,11073.66,16748.2167,22455.26449,13894.68
35320,29509.76,28427.93115,34828.9566,35664.51
8995,15792,9604.287538,9542.08916,8279.51
25995,18120.06,19601.1248,26731.70901,26985.13
15295,21691.97,24259.58135,21034.00042,18473.06
17233,21070.85,26230.98588,18116.23407,16922.44
18845,18193.04,26160.69395,22358.54008,22772.53
12450,18017.97,23337.50521,15698.42373,15563.89
42749,27092.42,24288.38608,39065.74532,41815.52
8299,11975.78,11334.00419,7299.495885,9242.92
20795,19178.57,23170.81871,21210.76342,19831.01
20700,24378,20157.12588,20056.41719,19751.63
7995,9449.47,7761.640753,9589.863902,10980.22
29495,21276.9,23621.74353,32067.34973,28992.99
16886,21027.98,22927.95064,21214.33435,19326.01
22618,24591.1,24407.32487,26844.72787,24699.24
22411,21196.89,23710.62776,23265.86471,20315.69
6500,9738.62,3703.886804,6744.980925,8394.37
